Crime_id,day_of_week,time_in_queue,town_name,province_name,location_id,year,crime_type,victim_gender,time_of_day
C00491,Tuesday,140,Rural,Kilimani,KiRu28725,2010,public_intoxication,F,14
C00498,Saturday,190,Rural,Akatsi,AkRu03693,2010,harassment,F,9
C00500,Thursday,137,Rural,Sokoto,SoRu38815,2010,theft,F,21
C00504,Monday,87,Dahabu,Amanzi,AmDa11365,2010,vandalism,C,17
C00516,Sunday,71,Asmara,Amanzi,AmAs10137,2010,severe_assault,C,8
C00517,Wednesday,249,Zuri,Kilimani,KiZu31415,2010,harassment,F,18
C00552,Friday,131,Rural,Kilimani,KiRu26827,2010,sexual_assault,F,4
C00565,Friday,322,Rural,Akatsi,AkRu07980,2010,public_intoxication,C,9
C00580,Wednesday,181,Rural,Hawassa,HaRu17668,2010,public_intoxication,F,9
C00625,Wednesday,179,Rural,Sokoto,SoRu35788,2010,sexual_assault,F,13
C00626,Saturday,499,Rural,Sokoto,SoRu38610,2010,vandalism,M,22
C00634,Friday,98,Zuri,Kilimani,KiZu30935,2010,harassment,F,6
C00658,Friday,35,Rural,Akatsi,AkRu06695,2010,sexual_assault,F,15
C00668,Friday,35,Rural,Akatsi,AkRu06695,2010,murder,F,9
C00669,Friday,35,Rural,Akatsi,AkRu06695,2010,public_intoxication,C,22
C00675,Monday,388,Rural,Hawassa,HaRu17383,2010,sexual_assault,F,22
C00681,Wednesday,95,Zuri,Kilimani,KiZu31138,2010,harassment,F,4
C00696,Friday,64,Asmara,Amanzi,AmAs10843,2010,harassment,F,12
C00702,Saturday,175,Rural,Sokoto,SoRu38834,2010,harassment,F,6
C00703,Thursday,121,Rural,Sokoto,SoRu38697,2010,theft,M,10
C00709,Saturday,310,Rural,Kilimani,KiRu28433,2010,severe_assault,M,21
C00714,Monday,329,Rural,Sokoto,SoRu35144,2010,theft,F,17
C00729,Friday,240,Rural,Akatsi,AkRu03433,2010,sexual_assault,F,23
C00742,Friday,69,Rural,Kilimani,KiRu29440,2010,harassment,F,18
C00743,Saturday,134,Rural,Kilimani,KiRu27695,2010,severe_assault,F,9
C00764,Tuesday,240,Rural,Akatsi,AkRu07766,2010,murder,F,11
C00786,Tuesday,16,Majengo,Sokoto,SoMa33600,2010,sexual_assault,F,8
C00789,Tuesday,21,Rural,Hawassa,HaRu18610,2010,harassment,F,23
C00806,Tuesday,21,Rural,Hawassa,HaRu18610,2010,harassment,F,13
C00818,Saturday,114,Rural,Akatsi,AkRu03470,2010,public_intoxication,F,19
C00830,Tuesday,21,Rural,Hawassa,HaRu18610,2010,vandalism,M,15
C00845,Friday,175,Rural,Akatsi,AkRu07479,2010,harassment,F,16
C00860,Thursday,166,Rural,Hawassa,HaRu17211,2010,murder,F,22
C00864,Wednesday,14,Kofi,Sokoto,SoKo33414,2010,public_intoxication,F,21
C00866,Sunday,132,Rural,Amanzi,AmRu14765,2010,vandalism,M,14
C00870,Tuesday,172,Rural,Sokoto,SoRu36412,2010,harassment,F,19
C00873,Tuesday,250,Rural,Akatsi,AkRu04899,2010,vandalism,M,10
C00890,Saturday,141,Rural,Hawassa,HaRu17390,2010,sexual_assault,F,19
C00896,Wednesday,104,Rural,Akatsi,AkRu05324,2010,harassment,F,5
C00920,Friday,175,Rural,Akatsi,AkRu07479,2010,theft,C,18
C00938,Thursday,157,Rural,Kilimani,KiRu25930,2010,murder,F,19
C00954,Saturday,67,Rural,Akatsi,AkRu03635,2010,sexual_assault,F,11
C00991,Saturday,300,Rural,Sokoto,SoRu35819,2010,severe_assault,F,4
C00999,Thursday,216,Asmara,Amanzi,AmAs10579,2010,public_intoxication,M,19
C01006,Tuesday,172,Rural,Sokoto,SoRu36412,2010,theft,C,4
C01029,Wednesday,191,Rural,Kilimani,KiRu29433,2010,public_intoxication,F,6
C01033,Saturday,309,Zuri,Kilimani,KiZu31001,2010,public_intoxication,F,5
C01036,Friday,31,Rural,Kilimani,KiRu27284,2010,vandalism,F,21
C01051,Friday,237,Rural,Kilimani,KiRu27616,2010,harassment,F,6
C01057,Wednesday,191,Rural,Hawassa,HaRu20843,2010,harassment,F,16
C01068,Saturday,85,Pwani,Amanzi,AmPw12430,2010,theft,M,8
C01095,Saturday,137,Rural,Sokoto,SoRu36181,2010,public_intoxication,F,20
C01097,Friday,93,Rural,Akatsi,AkRu05850,2010,sexual_assault,F,15
C01101,Tuesday,24,Rural,Hawassa,HaRu17156,2010,theft,M,4
C01105,Thursday,191,Kofi,Sokoto,SoKo33437,2010,sexual_assault,M,6
C01110,Monday,122,Zuri,Kilimani,KiZu31223,2010,harassment,F,23
C01147,Friday,80,Rural,Sokoto,SoRu35106,2010,theft,M,12
C01163,Monday,322,Amina,Amanzi,AmAm09966,2010,vandalism,M,18
C01167,Tuesday,149,Rural,Kilimani,KiRu27637,2010,harassment,F,7
C01170,Thursday,168,Rural,Sokoto,SoRu36790,2010,harassment,F,18
C01175,Tuesday,85,Lusaka,Akatsi,AkLu01966,2010,harassment,F,11
C01199,Sunday,29,Rural,Akatsi,AkRu03505,2010,sexual_assault,F,21
C01223,Thursday,16,Rural,Sokoto,SoRu35683,2010,harassment,F,15
C01227,Friday,93,Rural,Akatsi,AkRu05850,2010,harassment,F,8
C01233,Saturday,242,Rural,Akatsi,AkRu06943,2010,harassment,F,9
C01255,Wednesday,30,Rural,Akatsi,AkRu03742,2010,harassment,C,17
C01273,Friday,240,Rural,Akatsi,AkRu05296,2010,vandalism,F,9
C01275,Monday,206,Zuri,Kilimani,KiZu31001,2010,harassment,F,23
C01283,Friday,240,Rural,Akatsi,AkRu05296,2010,murder,F,4
C01284,Wednesday,74,Rural,Hawassa,HaRu17537,2010,sexual_assault,F,12
C01295,Tuesday,170,Rural,Hawassa,HaRu19310,2010,harassment,C,11
C01321,Friday,119,Rural,Akatsi,AkRu03398,2010,public_intoxication,F,10
C01322,Friday,32,Rural,Akatsi,AkRu03210,2010,harassment,F,6
C01339,Wednesday,155,Bello,Amanzi,AmBe11192,2010,public_intoxication,F,16
C01357,Tuesday,124,Rural,Sokoto,SoRu36794,2010,severe_assault,C,14
C01376,Friday,30,Rural,Akatsi,AkRu04046,2010,sexual_assault,F,18
C01385,Friday,240,Rural,Hawassa,HaRu17991,2010,harassment,F,13
C01408,Wednesday,108,Rural,Akatsi,AkRu02821,2010,public_intoxication,C,21
C01414,Monday,59,Rural,Akatsi,AkRu04275,2010,theft,F,14
C01421,Thursday,98,Rural,Kilimani,KiRu27416,2010,theft,M,19
C01426,Monday,75,Rural,Kilimani,KiRu25786,2010,sexual_assault,F,19
C01429,Friday,259,Rural,Hawassa,HaRu18878,2010,harassment,F,22
C01445,Monday,44,Rural,Akatsi,AkRu06826,2010,harassment,F,13
C01453,Friday,40,Rural,Sokoto,SoRu38687,2010,harassment,F,5
C01454,Friday,40,Rural,Sokoto,SoRu38687,2010,sexual_assault,F,9
C01456,Saturday,274,Rural,Kilimani,KiRu30119,2010,public_intoxication,M,6
C01458,Sunday,65,Rural,Hawassa,HaRu20784,2010,harassment,F,6
C01463,Monday,119,Rural,Sokoto,SoRu35284,2010,vandalism,F,21
C01466,Sunday,65,Rural,Hawassa,HaRu20784,2010,harassment,F,8
C01467,Sunday,72,Rural,Akatsi,AkRu04798,2010,vandalism,F,16
C01468,Monday,179,Asmara,Amanzi,AmAs10170,2010,theft,M,19
C01506,Saturday,97,Rural,Hawassa,HaRu18589,2010,vandalism,F,22
C01508,Saturday,97,Rural,Hawassa,HaRu18589,2010,sexual_assault,F,8
C01522,Sunday,66,Rural,Sokoto,SoRu35992,2010,murder,F,6
C01523,Sunday,66,Rural,Sokoto,SoRu35992,2010,vandalism,F,9
C01580,Friday,107,Rural,Hawassa,HaRu20099,2010,harassment,F,20
C01581,Friday,107,Rural,Hawassa,HaRu20099,2010,harassment,F,20
C01583,Friday,50,Harare,Akatsi,AkHa00090,2010,harassment,F,18
C01585,Friday,19,Rural,Akatsi,AkRu07541,2010,harassment,F,4
C01602,Sunday,152,Rural,Akatsi,AkRu04024,2010,public_intoxication,F,19
C01603,Friday,163,Zuri,Kilimani,KiZu30982,2010,harassment,F,18
C01607,Friday,19,Rural,Akatsi,AkRu07541,2010,sexual_assault,F,22
C01608,Friday,26,Rural,Hawassa,HaRu19303,2010,sexual_assault,F,13
C01615,Sunday,155,Zuri,Kilimani,KiZu31022,2010,theft,C,5
C01634,Monday,27,Zuri,Kilimani,KiZu30864,2010,sexual_assault,F,4
C01658,Tuesday,192,Rural,Hawassa,HaRu20759,2010,harassment,F,20
C01671,Saturday,268,Asmara,Amanzi,AmAs10621,2010,public_intoxication,M,22
C01711,Monday,86,Rural,Hawassa,HaRu17708,2010,sexual_assault,F,21
C01716,Tuesday,223,Rural,Sokoto,SoRu38331,2010,harassment,M,7
C01727,Monday,86,Rural,Hawassa,HaRu17708,2010,sexual_assault,F,11
C01749,Monday,390,Rural,Akatsi,AkRu07995,2010,vandalism,F,6
C01750,Tuesday,38,Asmara,Amanzi,AmAs10056,2010,public_intoxication,C,23
C01772,Sunday,111,Bello,Amanzi,AmBe11164,2010,harassment,M,14
C01790,Friday,109,Rural,Akatsi,AkRu08584,2010,harassment,F,23
C01798,Friday,17,Rural,Kilimani,KiRu26704,2010,murder,F,18
C01799,Saturday,294,Rural,Kilimani,KiRu27269,2010,severe_assault,F,12
C01814,Wednesday,101,Rural,Akatsi,AkRu06109,2010,vandalism,C,8
C01827,Friday,17,Rural,Kilimani,KiRu26704,2010,harassment,F,19
C01836,Wednesday,101,Rural,Akatsi,AkRu06109,2010,vandalism,F,5
C01852,Saturday,191,Rural,Sokoto,SoRu37199,2010,theft,F,11
C01860,Tuesday,164,Rural,Akatsi,AkRu08032,2010,public_intoxication,F,12
C01867,Monday,89,Cheche,Sokoto,SoCh31978,2010,sexual_assault,F,17
C01877,Saturday,191,Rural,Sokoto,SoRu37199,2010,harassment,F,5
C01881,Wednesday,247,Rural,Hawassa,HaRu18951,2010,vandalism,C,8
C01891,Monday,390,Rural,Akatsi,AkRu07995,2010,severe_assault,F,18
C01895,Saturday,224,Rural,Sokoto,SoRu38121,2010,vandalism,F,6
C01900,Tuesday,186,Rural,Sokoto,SoRu35321,2010,severe_assault,C,16
C01915,Sunday,47,Harare,Kilimani,KiHa23032,2010,harassment,C,7
C01946,Thursday,77,Harare,Kilimani,KiHa23032,2010,theft,F,22
C01948,Tuesday,150,Rural,Hawassa,HaRu19188,2010,harassment,F,20
C01949,Monday,393,Rural,Hawassa,HaRu18924,2010,vandalism,F,20
C01963,Friday,31,Djenne,Hawassa,HaDj16754,2010,vandalism,M,22
C01968,Wednesday,209,Dahabu,Amanzi,AmDa11822,2010,severe_assault,M,20
C01992,Monday,30,Rural,Akatsi,AkRu08792,2010,murder,F,22
C01995,Saturday,155,Pwani,Amanzi,AmPw12361,2010,sexual_assault,C,9
C01999,Friday,85,Dahabu,Amanzi,AmDa11694,2010,harassment,F,23
C02002,Friday,64,Rural,Akatsi,AkRu03619,2010,sexual_assault,F,15
C02015,Saturday,95,Rural,Sokoto,SoRu35945,2010,sexual_assault,F,19
C02022,Wednesday,87,Rural,Sokoto,SoRu39078,2010,harassment,F,23
C02026,Wednesday,203,Zuri,Kilimani,KiZu31133,2010,harassment,F,9
C02029,Sunday,49,Rural,Sokoto,SoRu36199,2010,public_intoxication,F,13
C02032,Saturday,155,Pwani,Amanzi,AmPw12361,2010,theft,C,19
C02051,Saturday,205,Rural,Hawassa,HaRu17537,2010,public_intoxication,M,18
C02076,Friday,64,Rural,Akatsi,AkRu03619,2010,harassment,F,20
C02090,Saturday,514,Rural,Hawassa,HaRu18687,2010,harassment,F,6
C02095,Monday,233,Zuri,Kilimani,KiZu31347,2010,vandalism,M,7
C02111,Saturday,239,Rural,Sokoto,SoRu38203,2010,sexual_assault,M,12
C02117,Tuesday,30,Rural,Amanzi,AmRu12798,2010,public_intoxication,M,18
C02125,Sunday,14,Rural,Kilimani,KiRu28632,2010,theft,C,18
C02130,Saturday,239,Rural,Sokoto,SoRu38203,2010,vandalism,F,8
C02139,Monday,271,Rural,Akatsi,AkRu03058,2010,public_intoxication,C,5
C02158,Monday,181,Rural,Kilimani,KiRu28618,2010,sexual_assault,F,22
C02165,Wednesday,179,Rural,Akatsi,AkRu03431,2010,sexual_assault,F,10
C02167,Friday,208,Rural,Akatsi,AkRu06943,2010,murder,F,8
C02169,Friday,208,Rural,Akatsi,AkRu06943,2010,vandalism,M,4
C02176,Friday,190,Zuri,Kilimani,KiZu31100,2010,public_intoxication,F,20
C02184,Friday,208,Rural,Akatsi,AkRu06943,2010,public_intoxication,F,12
C02207,Wednesday,67,Amina,Amanzi,AmAm09921,2010,theft,M,20
C02219,Wednesday,46,Rural,Kilimani,KiRu27346,2010,harassment,F,10
C02222,Friday,197,Rural,Hawassa,HaRu20619,2010,harassment,F,17
C02223,Saturday,260,Rural,Amanzi,AmRu13549,2010,severe_assault,M,15
C02233,Saturday,260,Rural,Amanzi,AmRu13549,2010,severe_assault,F,9
C02237,Saturday,260,Rural,Amanzi,AmRu13549,2010,public_intoxication,M,22
C02252,Saturday,260,Rural,Amanzi,AmRu13549,2010,severe_assault,M,21
C02271,Wednesday,51,Asmara,Amanzi,AmAs10454,2010,sexual_assault,M,18
C02274,Friday,67,Rural,Kilimani,KiRu25792,2010,harassment,F,7
C02283,Saturday,79,Pwani,Amanzi,AmPw12360,2010,theft,F,23
C02302,Wednesday,228,Marang,Sokoto,SoMa34207,2010,theft,F,10
C02319,Friday,227,Rural,Kilimani,KiRu25965,2010,harassment,F,10
C02321,Tuesday,190,Majengo,Sokoto,SoMa33575,2010,harassment,C,23
C02323,Thursday,30,Rural,Hawassa,HaRu19446,2010,harassment,M,17
C02338,Thursday,30,Rural,Hawassa,HaRu19446,2010,harassment,M,9
C02342,Thursday,154,Rural,Sokoto,SoRu35284,2010,theft,F,22
C02366,Friday,109,Rural,Akatsi,AkRu08584,2010,sexual_assault,F,20
C02373,Saturday,226,Rural,Hawassa,HaRu20366,2010,public_intoxication,F,20
C02376,Friday,109,Rural,Akatsi,AkRu08584,2010,severe_assault,C,19
C02380,Wednesday,73,Rural,Kilimani,KiRu27637,2010,sexual_assault,F,13
C02388,Tuesday,121,Rural,Akatsi,AkRu08275,2010,sexual_assault,F,11
C02391,Tuesday,121,Rural,Akatsi,AkRu08275,2010,harassment,F,23
C02398,Saturday,226,Rural,Hawassa,HaRu20366,2010,public_intoxication,F,8
C02434,Saturday,112,Asmara,Amanzi,AmAs10170,2010,public_intoxication,M,22
C02446,Tuesday,85,Rural,Akatsi,AkRu02984,2010,sexual_assault,C,11
C02461,Tuesday,85,Rural,Akatsi,AkRu02984,2010,harassment,F,22
C02466,Friday,154,Rural,Kilimani,KiRu28798,2010,harassment,F,7
C02469,Thursday,140,Rural,Amanzi,AmRu13488,2010,harassment,F,14
C02472,Tuesday,18,Rural,Akatsi,AkRu08854,2010,vandalism,C,15
C02481,Thursday,52,Rural,Akatsi,AkRu04994,2010,theft,F,12
C02486,Monday,24,Rural,Sokoto,SoRu36793,2010,public_intoxication,F,4
C02494,Wednesday,106,Rural,Kilimani,KiRu27262,2010,harassment,M,5
C02501,Saturday,112,Asmara,Amanzi,AmAs10170,2010,theft,M,18
C02506,Saturday,112,Asmara,Amanzi,AmAs10170,2010,sexual_assault,M,18
C02507,Saturday,112,Asmara,Amanzi,AmAs10170,2010,harassment,M,8
C02511,Friday,138,Rural,Sokoto,SoRu39623,2010,harassment,M,16
C02514,Wednesday,29,Rural,Sokoto,SoRu38631,2010,theft,F,23
C02515,Thursday,52,Rural,Akatsi,AkRu04994,2010,sexual_assault,F,9
C02517,Wednesday,106,Rural,Kilimani,KiRu27262,2010,theft,M,6
C02566,Friday,149,Rural,Hawassa,HaRu19393,2010,vandalism,C,16
C02567,Monday,163,Rural,Hawassa,HaRu20514,2010,harassment,F,19
C02604,Friday,41,Rural,Amanzi,AmRu13109,2010,vandalism,M,18
C02609,Wednesday,32,Rural,Sokoto,SoRu37596,2010,theft,C,14
C02624,Monday,63,Rural,Kilimani,KiRu29489,2010,severe_assault,F,22
C02626,Monday,44,Rural,Akatsi,AkRu06685,2010,harassment,M,21
C02627,Saturday,235,Rural,Sokoto,SoRu36448,2010,murder,M,16
C02638,Thursday,61,Rural,Sokoto,SoRu37956,2010,public_intoxication,F,21
C02687,Friday,255,Rural,Akatsi,AkRu06121,2010,harassment,F,12
C02690,Thursday,43,Zuri,Kilimani,KiZu31037,2010,severe_assault,M,9
C02693,Thursday,43,Zuri,Kilimani,KiZu31037,2010,harassment,F,11
C02700,Friday,20,Harare,Akatsi,AkHa00721,2010,harassment,F,19
C02704,Thursday,43,Zuri,Kilimani,KiZu31037,2010,public_intoxication,F,16
C02748,Thursday,82,Rural,Hawassa,HaRu18656,2010,harassment,F,22
C02763,Tuesday,72,Rural,Kilimani,KiRu26026,2010,harassment,F,9
C02768,Friday,30,Rural,Sokoto,SoRu39089,2010,harassment,F,22
C02782,Friday,30,Rural,Sokoto,SoRu39089,2010,murder,F,18
C02794,Sunday,27,Serowe,Hawassa,HaSe21069,2010,harassment,M,8
C02803,Friday,30,Rural,Akatsi,AkRu06708,2010,harassment,F,15
C02836,Friday,30,Rural,Sokoto,SoRu39089,2010,harassment,F,11
C02839,Monday,169,Rural,Akatsi,AkRu03559,2010,sexual_assault,F,6
C02841,Friday,30,Rural,Hawassa,HaRu18521,2010,harassment,F,4
C02861,Friday,30,Rural,Hawassa,HaRu18521,2010,harassment,C,11
C02863,Sunday,115,Rural,Hawassa,HaRu20062,2010,severe_assault,F,21
C02864,Friday,30,Rural,Hawassa,HaRu18521,2010,harassment,M,16
C02885,Tuesday,214,Rural,Akatsi,AkRu03340,2010,harassment,F,23
C02899,Wednesday,158,Rural,Sokoto,SoRu37735,2010,theft,M,12
C02900,Wednesday,20,Rural,Akatsi,AkRu02916,2010,sexual_assault,F,11
C02911,Thursday,28,Rural,Kilimani,KiRu25523,2010,vandalism,M,20
C02926,Thursday,28,Zuri,Kilimani,KiZu31162,2010,theft,F,22
C02933,Thursday,28,Zuri,Kilimani,KiZu31162,2010,theft,F,19
C02975,Friday,19,Amina,Amanzi,AmAm09927,2010,theft,M,10
C02993,Friday,19,Amina,Amanzi,AmAm09927,2010,public_intoxication,M,19
C02995,Saturday,473,Abidjan,Amanzi,AmAb09194,2010,vandalism,M,19
C03008,Monday,345,Rural,Kilimani,KiRu29730,2010,sexual_assault,F,19
C03022,Thursday,81,Rural,Amanzi,AmRu13519,2010,theft,C,23
C03023,Saturday,473,Abidjan,Amanzi,AmAb09194,2010,vandalism,M,20
C03028,Friday,188,Zuri,Kilimani,KiZu31295,2010,harassment,F,4
C03031,Wednesday,226,Zuri,Kilimani,KiZu30881,2010,sexual_assault,F,22
C03041,Thursday,81,Rural,Amanzi,AmRu13519,2010,severe_assault,M,23
C03051,Monday,156,Rural,Akatsi,AkRu08167,2010,harassment,F,13
C03078,Monday,156,Rural,Akatsi,AkRu08167,2010,sexual_assault,F,9
C03088,Sunday,58,Rural,Kilimani,KiRu30195,2010,theft,F,8
C03094,Friday,31,Djenne,Hawassa,HaDj16754,2010,theft,M,17
C03103,Tuesday,213,Rural,Akatsi,AkRu02827,2010,harassment,F,10
C03107,Tuesday,77,Rural,Akatsi,AkRu07232,2010,harassment,F,16
C03113,Wednesday,162,Rural,Hawassa,HaRu18122,2010,harassment,F,6
C03114,Friday,127,Asmara,Amanzi,AmAs10718,2010,severe_assault,M,17
C03115,Friday,127,Asmara,Amanzi,AmAs10718,2010,murder,M,16
C03133,Monday,240,Dahabu,Amanzi,AmDa11938,2010,severe_assault,M,5
C03134,Wednesday,125,Rural,Kilimani,KiRu25418,2010,harassment,F,21
C03148,Thursday,100,Kofi,Sokoto,SoKo33124,2010,public_intoxication,M,14
C03175,Sunday,102,Mrembo,Kilimani,KiMr24719,2010,sexual_assault,F,8
C03176,Sunday,137,Rural,Amanzi,AmRu13830,2010,theft,F,16
C03195,Friday,31,Majengo,Sokoto,SoMa33614,2010,theft,M,9
C03211,Thursday,61,Rural,Sokoto,SoRu37956,2010,murder,F,13
C03232,Saturday,479,Dahabu,Amanzi,AmDa11957,2010,severe_assault,M,13
C03248,Monday,95,Rural,Akatsi,AkRu05098,2010,harassment,F,16
C03254,Sunday,137,Rural,Amanzi,AmRu13830,2010,vandalism,M,17
C03261,Tuesday,72,Lusaka,Akatsi,AkLu01603,2010,theft,F,22
C03270,Tuesday,131,Lusaka,Akatsi,AkLu01856,2010,sexual_assault,F,21
C03271,Tuesday,268,Rural,Akatsi,AkRu03218,2010,sexual_assault,F,10
C03322,Wednesday,25,Rural,Kilimani,KiRu30378,2010,harassment,F,21
C03341,Friday,124,Zuri,Kilimani,KiZu30790,2010,sexual_assault,F,17
C03342,Friday,16,Asmara,Amanzi,AmAs10532,2010,public_intoxication,M,22
C03366,Tuesday,183,Rural,Kilimani,KiRu28825,2010,severe_assault,C,20
C03371,Wednesday,67,Rural,Kilimani,KiRu30119,2010,theft,F,5
C03377,Wednesday,67,Rural,Kilimani,KiRu30119,2010,theft,C,11
C03393,Tuesday,200,Asmara,Amanzi,AmAs10049,2010,severe_assault,M,22
C03404,Wednesday,61,Asmara,Amanzi,AmAs10326,2010,harassment,M,10
C03432,Wednesday,61,Asmara,Amanzi,AmAs10326,2010,sexual_assault,M,6
C03445,Tuesday,183,Rural,Kilimani,KiRu28825,2010,theft,M,6
C03465,Sunday,29,Rural,Akatsi,AkRu07575,2010,public_intoxication,F,11
C03492,Sunday,91,Rural,Akatsi,AkRu07832,2010,theft,C,18
C03493,Sunday,91,Rural,Akatsi,AkRu07832,2010,harassment,F,23
C03498,Tuesday,240,Pwani,Amanzi,AmPw12680,2010,sexual_assault,M,9
C03510,Thursday,31,Rural,Hawassa,HaRu20085,2010,harassment,F,4
C03517,Sunday,72,Marang,Sokoto,SoMa34411,2010,severe_assault,F,9
C03552,Tuesday,200,Asmara,Amanzi,AmAs10049,2010,vandalism,M,19
C03553,Thursday,21,Rural,Sokoto,SoRu39093,2010,vandalism,F,17
C03564,Tuesday,200,Asmara,Amanzi,AmAs10049,2010,murder,M,23
C03581,Friday,36,Rural,Kilimani,KiRu30485,2010,murder,F,9
C03594,Friday,142,Rural,Kilimani,KiRu27735,2010,sexual_assault,F,13
C03596,Friday,142,Rural,Kilimani,KiRu27735,2010,sexual_assault,F,6
C03606,Friday,215,Rural,Sokoto,SoRu37585,2010,harassment,F,22
C03616,Thursday,19,Rural,Akatsi,AkRu07043,2010,harassment,F,15
C03625,Friday,142,Rural,Kilimani,KiRu27735,2010,public_intoxication,F,15
C03626,Tuesday,26,Rural,Hawassa,HaRu18049,2010,murder,F,8
C03647,Saturday,43,Rural,Akatsi,AkRu06695,2010,harassment,M,20
C03677,Friday,215,Rural,Sokoto,SoRu37585,2010,harassment,F,17
C03681,Friday,39,Serowe,Hawassa,HaSe21069,2010,sexual_assault,F,12
C03691,Monday,184,Rural,Kilimani,KiRu27914,2010,theft,F,21
C03696,Thursday,72,Rural,Akatsi,AkRu08111,2010,sexual_assault,F,10
C03739,Friday,256,Rural,Sokoto,SoRu36934,2010,murder,F,16
C03742,Sunday,156,Majengo,Sokoto,SoMa33668,2010,severe_assault,M,10
C03748,Friday,238,Rural,Akatsi,AkRu03478,2010,sexual_assault,C,21
C03757,Sunday,156,Majengo,Sokoto,SoMa33668,2010,theft,M,23
C03768,Saturday,240,Rural,Kilimani,KiRu26740,2010,harassment,C,20
C03773,Friday,107,Rural,Akatsi,AkRu04198,2010,harassment,F,20
C03779,Saturday,213,Zuri,Kilimani,KiZu30920,2010,severe_assault,F,8
C03789,Monday,92,Rural,Akatsi,AkRu05383,2010,public_intoxication,C,5
C03813,Wednesday,30,Rural,Hawassa,HaRu17631,2010,theft,M,11
C03818,Saturday,115,Rural,Hawassa,HaRu20112,2010,sexual_assault,M,5
C03829,Saturday,443,Rural,Akatsi,AkRu08684,2010,harassment,F,18
C03839,Saturday,464,Rural,Kilimani,KiRu29154,2010,theft,M,23
C03844,Saturday,464,Rural,Kilimani,KiRu29154,2010,theft,M,20
